lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1943SBC03_black_xs,Size,1943SBC03_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
1943SBC03_black_sm,Size,1943SBC03_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
1943SBC03_black_md,Size,1943SBC03_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
1943SBC03_black_lg,Size,1943SBC03_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
1943SBC03_black_xl,Size,1943SBC03_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2061SBC03_black_xs,Size,2061SBC03_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2061SBC03_black_sm,Size,2061SBC03_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2061SBC03_black_md,Size,2061SBC03_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2061SBC03_black_lg,Size,2061SBC03_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2061SBC03_black_xl,Size,2061SBC03_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2061SCC03_black_xs,Size,2061SCC03_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2061SCC03_black_sm,Size,2061SCC03_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2061SCC03_black_md,Size,2061SCC03_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2061SCC03_black_lg,Size,2061SCC03_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2061SCC03_black_xl,Size,2061SCC03_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2041SAC07_black_xs,Size,2041SAC07_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2041SAC07_black_sm,Size,2041SAC07_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2041SAC07_black_md,Size,2041SAC07_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2041SAC07_black_lg,Size,2041SAC07_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2041SAC07_black_xl,Size,2041SAC07_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2041SBC07_black_xs,Size,2041SBC07_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2041SBC07_black_sm,Size,2041SBC07_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2041SBC07_black_md,Size,2041SBC07_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
